Bestellen;Qty;Value;Device;Package;Parts;Description;TP_SIGNAL_NAME
;2;100nF;C-EUC0805K;C0805K;C7, C8;CAPACITOR, European symbol;
;2;100pF;C-EUC0805K;C0805K;C6, C9;CAPACITOR, European symbol;
;5;10k;R-EU_R0805;R0805;R1, R2, R4, R5, R12;RESISTOR, European symbol;
X;1;180k 1%;R-EU_R0805;R0805;R14;RESISTOR, European symbol;
;4;1k;R-EU_R0805;R0805;R6, R7, R11, R13;RESISTOR, European symbol;
;2;1k5;R-EU_R0805;R0805;R9, R10;RESISTOR, European symbol;
;4;1µF;C-EUC0805K;C0805K;C2, C4, C5, C13;CAPACITOR, European symbol;
;1;200;R-EU_R0805;R0805;R3;RESISTOR, European symbol;
X;1;20k 1%;R-EU_R0805;R0805;R15;RESISTOR, European symbol;
;2;220nF;C-EUC0805K;C0805K;C1, C3;CAPACITOR, European symbol;
X;1;348k;R-EU_R0805;R0805;R8;RESISTOR, European symbol;
X;3;4.7µF;C-EUC0805K;C0805K;C10, C11, C12;CAPACITOR, European symbol;
;1;LQH2MCN 10µH;LQH2MCN;L0806;L1;muRata chip inductor Wire Wound Type with Ferrite Core;
;1;LTC2804-1GN;LTC2804-1GN;SSOP-16;U1;Linear Technology Dual RS-232 Transceiver;
X;1;MCP1826ADJ;MCP1826ADJ;SOT-223-5;U4;Microchip MCP1826;
;1;MOLEX-47346-0001;MOLEX-47346-0001;MOLEX-47364-0001;USB1;MICRO USB B, BOTTOM MOUNT;
;1;PCA9306DCT;PCA9306DCT;SSOP-8;U2;Texas Instruments PCA9306;
X;1;RB520CS30L;RB520CS30L;SOD882;D1;NXP Semiconductors schottky diode;
X;1;B2B-XH-A90°;;;;Buchsenleiste 2 PIN JST-XH;
X;1;B4B-XH-A90°;;;;Buchsenleiste 4 PIN JST-XH;
X;1;B6B-XH-A90°;;;;Buchsenleiste 6 PIN JST-XH;
X;1;B7B-XH-A90°;;;;Buchsenleiste 7 PIN JST-XH;
X;1;S2B-XH-A90°;S2B-XH-A90°;S2B-XH-A;;Wire-to-Board 2.5mm pitch side mount connector;
X;1;S4B-XH-A90°;S4B-XH-A90°;S4B-XH-A;J2;Wire-to-Board 2.5mm pitch side mount connector;
X;1;S6B-XH-A90°;S6B-XH-A90°;S6B-XH-A;J3;Wire-to-Board 2.5mm pitch side mount connector;
X;1;S7B-XH-A90°;S7B-XH-A90°;S7B-XH-A;J1;Wire-to-Board 2.5mm pitch side mount connector;
X;1;SMTU1220-LF;SMTU1220-LF;SMTU1220-LF;BAT1;renata batteries;
X;1;SSK-1202;SSK-1202;SSK-1202;SW1;SSK three way slide switch;
;1;TXB0104D;TXB0104D;SOIC-14;U3;Texas Instuments 4-Bit Bidirectional Voltagelevel Translator;
;1;edison;INTEL_EDISON_BB_HEADER;1X14;JP1;PIN HEADER;
X;1;Knopfzelle Größe 1220;;;;;
X;17;Crimpkontakt;;;;Crimpkontakte für die JST-XH Buchsenleisten;
18;;;;;;;
